mov_id,date,user_id_maped,program_name,duration_seconds,program_class,season,episode,program_desc,program_genre,series_title,hd,original_name
213245,2/14/2018,5,Teletubbies    ,30,SERIES/EPISODES,1,4,"Animation MovieTeletubbies, Season 1, Episode 5",Animation,0,0,Teletubbies  
213821,6/23/2017,5,Teletubbies    ,116,SERIES/EPISODES,1,4,"Animation MovieTeletubbies, Season 1, Episode 5",Animation,0,0,Teletubbies  
214397,8/15/2017,5,Pingu    ,546,SERIES/EPISODES,4,1,"Animation MoviePingu, Season 4, Episode 2",Animation,0,0,Pingu  
214973,4/26/2018,5,Teletubbies    ,217,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
215549,4/25/2018,5,Oscar's Oasis    ,438,SERIES/EPISODES,1,5,"Animation MovieOscar's Oasis, Season 1, Episode 6",Animation,0,0,Oscar's Oasis  
216125,6/20/2017,5,Pingu    ,317,SERIES/EPISODES,6,1,"Animation MoviePingu, Season 6, Episode 2",Animation,0,0,Pingu  
216701,02/11/2018,5,Teletubbies    ,1416,SERIES/EPISODES,1,3,"Animation MovieTeletubbies, Season 1, Episode 4",Animation,0,0,Teletubbies  
217277,6/20/2017,5,Marcus Level  (T)    My Kingdom For A Pony,56,SERIES/EPISODES,1,1,Animation MovieMy Kingdom For A Pony,Animation,0,1,Marcus Level  (T)
217853,8/15/2017,5,Taymour    Ep. ,300,SERIES/EPISODES,1,1,"Comedy%%Family MovieTaymour, Season 1, Ep. 2",Family,0,0,Taymour  
218429,2/14/2018,5,Teletubbies    ,1198,SERIES/EPISODES,1,6,"Animation MovieTeletubbies, Season 1, Episode 7",Animation,0,0,Teletubbies  
219005,6/23/2017,5,Teletubbies    ,463,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
219581,6/20/2017,5,Fireman am   Ep. ,36,SERIES/EPISODES,7,1,"Animation MovieFireman Sam 7, Ep. 2",Animation,0,0,Fireman am 
220157,03/03/2018,5,Teletubbies    ,1090,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
220733,4/26/2018,5,Oscar's Oasis    ,450,SERIES/EPISODES,1,11,"Animation MovieOscar's Oasis, Season 1, Episode 12",Animation,0,0,Oscar's Oasis  
221309,4/26/2018,5,Oscar's Oasis    ,12610,SERIES/EPISODES,1,12,"Animation MovieOscar's Oasis, Season 1, Episode 13",Animation,0,0,Oscar's Oasis  
221885,6/20/2017,5,Fireman am   Ep. ,137,SERIES/EPISODES,7,2,"Animation MovieFireman Sam 7, Ep. 3",Animation,0,0,Fireman am 
222461,4/26/2018,5,Teletubbies    ,60,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
223037,4/28/2018,5,Teletubbies    ,1494,SERIES/EPISODES,1,8,"Animation MovieTeletubbies, Season 1, Episode 9",Animation,0,0,Teletubbies  
223613,6/20/2017,5,Pingu    ,277,SERIES/EPISODES,3,4,"Animation MoviePingu, Season 3, Episode 5",Animation,0,0,Pingu  
224189,4/24/2018,5,Teletubbies    ,1917,SERIES/EPISODES,1,2,"Animation MovieTeletubbies, Season 1, Episode 3",Animation,0,0,Teletubbies  
224765,4/25/2018,5,Teletubbies    ,1477,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
225341,02/10/2018,5,Pingu    ,61,SERIES/EPISODES,5,1,"Animation MoviePingu, Season 5, Episode 2",Animation,0,0,Pingu  
225917,6/23/2017,5,Teletubbies    ,177,SERIES/EPISODES,1,3,"Animation MovieTeletubbies, Season 1, Episode 4",Animation,0,0,Teletubbies  
226493,7/15/2017,5,24     :00 AM - :00 AM ,115,SERIES/EPISODES,6,20,Drama Movie1:00 AM - 2:00 AM (HD),Drama,0,0,24
227069,8/15/2017,5,Teletubbies    ,365,SERIES/EPISODES,1,4,"Animation MovieTeletubbies, Season 1, Episode 5",Animation,0,0,Teletubbies  
227645,02/09/2018,5,Pingu    ,2254,SERIES/EPISODES,3,1,"Animation MoviePingu, Season 3, Episode 2",Animation,0,0,Pingu  
228221,02/12/2018,5,Teletubbies    ,1377,SERIES/EPISODES,1,5,"Animation MovieTeletubbies, Season 1, Episode 6",Animation,0,0,Teletubbies  
228797,12/04/2017,5,Teletubbies    ,472,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
229373,02/09/2018,5,In the Night Garden    ,7,SERIES/EPISODES,5,1,"Animation MovieIn the Night Garden, Season 5, Episode 2",Animation,0,0,In the Night Garden  
229949,8/15/2017,5,Teletubbies    ,55,SERIES/EPISODES,1,1,"Animation MovieTeletubbies, Season 1, Episode 2",Animation,0,0,Teletubbies  
230525,4/26/2018,5,Teletubbies    ,54,SERIES/EPISODES,1,5,"Animation MovieTeletubbies, Season 1, Episode 6",Animation,0,0,Teletubbies  
154480,9/18/2017,9,Along Came Polly ,66,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
155056,5/26/2017,9,Trolls ,88,MOVIE,0,0,Animation MovieTrolls (HD),Animation,0,1,Trolls
156208,09/04/2017,9,The Boss Baby ,90,MOVIE,0,0,Animation MovieThe Boss Baby (HD),Animation,0,1,The Boss Baby
156784,9/18/2017,9,Along Came Polly ,65,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
157360,08/07/2017,9,The Boss Baby ,13,MOVIE,0,0,Animation MovieThe Boss Baby (HD),Animation,0,1,The Boss Baby
157936,9/18/2017,9,Along Came Polly ,66,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
158512,9/18/2017,9,Along Came Polly ,65,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
159088,9/18/2017,9,Along Came Polly ,65,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
159664,9/18/2017,9,Along Came Polly ,66,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
160240,09/04/2017,9,The Boss Baby ,5,MOVIE,0,0,Animation MovieThe Boss Baby (HD),Animation,0,1,The Boss Baby
160816,5/26/2017,9,Trolls ,92,MOVIE,0,0,Animation MovieTrolls (HD),Animation,0,1,Trolls
161392,9/18/2017,9,Along Came Polly ,65,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
161968,9/18/2017,9,Along Came Polly ,66,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
162544,5/26/2017,9,Trolls ,92,MOVIE,0,0,Animation MovieTrolls (HD),Animation,0,1,Trolls
163120,9/18/2017,9,Along Came Polly ,66,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
163696,9/18/2017,9,Along Came Polly ,66,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
164272,9/18/2017,9,Along Came Polly ,65,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
164848,9/18/2017,9,Along Came Polly ,66,MOVIE,0,0,Comedy MovieAlong Came Polly (HD),Comedy,0,1,Along Came Polly
