acc,city,licence
28578,CHICAGO,Limited Business License
279380,CHICAGO,Limited Business License
463847,CHICAGO,Limited Business License
217214,CHICAGO,Retail Food Establishment
313885,CHICAGO,Limited Business License
64486,CHICAGO,Wholesale Food Establishment
1638,CHICAGO,Manufacturing Establishments
14445,CHICAGO,Public Place of Amusement
386886,CHICAGO,Retail Food Establishment
422539,CHICAGO,Shared Housing Unit Operator
265,CHICAGO,Tobacco
386413,GREENVILLE,Regulated Business License
322442,CHICAGO,Regulated Business License
19604,CHICAGO,Limited Business License
348205,VILLA PARK,Regulated Business License
367394,CHICAGO,Limited Business License
402175,ST. LOUIS,Explosives
387955,CHICAGO,Consumption on Premises - Incidental Activity
386413,TEMPE,Regulated Business License
56817,CHICAGO,Motor Vehicle Services License
28578,CHICAGO,Regulated Business License
306279,CHICAGO,Peddler License
378587,CHICAGO,Tobacco
466668,CHICAGO,Tobacco
286029,CHICAGO,Consumption on Premises - Incidental Activity
24075,CHICAGO,Tavern
88846,CHICAGO,Regulated Business License
464106,CHICAGO,Limited Business License
52274,CHICAGO,Regulated Business License
385942,CHICAGO,Limited Business License
254133,CHICAGO,Retail Food Establishment
385881,CHICAGO,Limited Business License
367727,CHICAGO,Limited Business License
384585,CHICAGO,Motor Vehicle Services License
48119,CHICAGO,Regulated Business License
417705,CHICAGO,Retail Food Establishment
233,CHICAGO,Retail Food Establishment
295890,CHICAGO,Regulated Business License
422478,CHICAGO,Limited Business License
382446,CHICAGO,Consumption on Premises - Incidental Activity
362954,CHICAGO,Retail Food Establishment
402008,CHICAGO,Retail Food Establishment
463940,CHICAGO,Limited Business License
11071,CHICAGO,Retail Food Establishment
11071,CHICAGO,Retail Food Establishment
274494,CHICAGO,Outdoor Patio
463837,CHICAGO,Retail Food Establishment
328440,CHICAGO,Limited Business License
6137,CHICAGO,Package Goods
461326,CHICAGO,Wholesale Food Establishment
413256,CHICAGO,Retail Food Establishment
15642,CHICAGO,Retail Food Establishment
11071,CHICAGO,Retail Food Establishment
397447,CHICAGO,Outdoor Patio
305630,CHICAGO,Retail Food Establishment
7041,CHICAGO,Retail Food Establishment
43581,CHICAGO,Peddler License
6907,CHICAGO,Package Goods
326657,CHICAGO,Retail Food Establishment
16644,CHICAGO,Tobacco
324102,CHICAGO,Retail Food Establishment
30533,CHICAGO,Limited Business License
38757,CHICAGO,Peddler License
422654,CHICAGO,Regulated Business License
401950,CHICAGO,Filling Station
426630,CHICAGO,Food - Shared Kitchen - Supplemental
402182,CHICAGO,Limited Business License
396500,CHICAGO,Tobacco
464066,CHICAGO,Regulated Business License
422418,CHICAGO,Limited Business License
290339,CHICAGO,Peddler License
421788,CHICAGO,Filling Station
401970,CHICAGO,Limited Business License
378239,CHICAGO,Retail Food Establishment
384558,CHICAGO,Mobile Food License
23281,CHICAGO,Package Goods
385585,CHICAGO,Retail Food Establishment
432316,CHICAGO,Package Goods
469736,CHICAGO,Tobacco
365176,CHICAGO,Peddler License
210193,CHICAGO,Retail Food Establishment
337105,CHICAGO,Limited Business License
203022,CHICAGO,Motor Vehicle Services License
307789,CHICAGO,Limited Business License
423032,CHICAGO,Limited Business License
52021,CHICAGO,Limited Business License
17588,CHICAGO,Tobacco
30533,CHICAGO,Regulated Business License
401982,GARY,Regulated Business License
30974,CHICAGO,Music and Dance
242818,CHICAGO,Limited Business License
401877,CHICAGO,Limited Business License
35752,CHICAGO,Peddler License
367297,CHICAGO,Retail Food Establishment
470419,CHICAGO,Tobacco
401902,CHICAGO,Regulated Business License
338973,CHICAGO,Limited Business License
20105,CHICAGO,Tobacco
408980,CHICAGO,Tavern
274900,CHICAGO,Tavern
54981,CHICAGO,Limited Business License
35861,CHICAGO,Manufacturing Establishments
366879,CHICAGO,Retail Food Establishment
31418,CHICAGO,Regulated Business License
214232,CHICAGO,Limited Business License
272175,CHICAGO,Package Goods
464347,CHICAGO,Limited Business License
38632,CHICAGO,Manufacturing Establishments
385597,CHICAGO,Limited Business License
86496,CHICAGO,Tobacco
404458,CHICAGO,Filling Station
401832,CHICAGO,Limited Business License
385870,CHICAGO,Limited Business License
366798,CHICAGO,Retail Food Establishment
15642,CHICAGO,Consumption on Premises - Incidental Activity
470909,CHICAGO,Pop-Up Retail User
400223,CHICAGO,Retail Food Establishment
15415,CHICAGO,Retail Food Establishment
24898,CHICAGO,Motor Vehicle Services License
312986,CHICAGO,Limited Business License
336823,CHICAGO,Retail Food Establishment
470851,GENEVA,Pharmaceutical Representative
264,CHICAGO,Retail Food Establishment
460260,CHICAGO,Retail Food Establishment
215506,CHICAGO,Limited Business License
313337,CHICAGO,Consumption on Premises - Incidental Activity
463628,CHICAGO,Regulated Business License
463670,CHICAGO,Regulated Business License
243017,ORLAND HILLS,Peddler License
59178,CHICAGO,Limited Business License
32904,CHICAGO,Regulated Business License
360993,CHICAGO,Regulated Business License
367394,CHICAGO,Limited Business License
460963,CHICAGO,Outdoor Patio
462425,CHICAGO,Filling Station
11818,CHICAGO,Limited Business License
212793,CHICAGO,Retail Food Establishment
63577,CHICAGO,Retail Food Establishment
421777,CHICAGO,Limited Business License
16644,CHICAGO,Package Goods
87337,CHICAGO,Limited Business License
6373,CHICAGO,Retail Food Establishment
422424,CHICAGO,Limited Business License
464308,CHICAGO,Regulated Business License
463953,CHICAGO,Retail Food Establishment
274237,CHICAGO,Raffles
348896,CHICAGO,Tobacco
46840,CHICAGO,Regulated Business License
402395,CHICAGHO,Limited Business License
279248,CHICAGO,Tobacco
251430,CHICAGO,Manufacturing Establishments
11071,CHICAGO,Retail Food Establishment
88748,CHICAGO,Children's Services Facility License
285211,CHICAGO,Limited Business License
208714,CHICAGO,Limited Business License
31242,CHICAGO,Limited Business License
27456,CHICAGO,Motor Vehicle Services License
31827,CHICAGO,Tobacco
44066,CHICAGO,Limited Business License
421069,CHICAGO,Retail Food Establishment
69919,CHICAGO,Limited Business License
367116,CHICAGO,Secondhand Dealer
420491,CHICAGO,Consumption on Premises - Incidental Activity
334474,CHICAGO,Public Place of Amusement
312815,CHICAGO,Wholesale Food Establishment
313337,CHICAGO,Consumption on Premises - Incidental Activity
205853,CHICAGO,Limited Business License
220495,CHICAGO,Manufacturing Establishments
16662,CHICAGO,Package Goods
